10	11	50.2891172521
2	6	49.8400833076
0	1	38.2587307758
4	10	36.8190481293
6	7	33.5012663953
0	4	32.4543918007
9	10	31.9448787499
1	6	31.8229525511
4	8	28.4062069098
4	6	28.1259033099
6	8	26.2336030033
4	11	25.1955248914
2	4	23.9822380922
0	7	23.5470595102
5	8	22.4473880527
0	6	21.8365118699
0	8	20.6951309278
1	3	20.4046330095
0	3	19.4713901922
0	5	19.4273236118
7	8	17.8705896072
7	11	16.9958280032
8	11	16.4594380726
5	7	16.3153031514
6	9	15.7734601023
1	4	14.467148264
1	10	14.2930473885
7	9	13.8389418674
5	6	13.7682849424
6	11	13.7595973486
0	2	13.524883484
4	7	13.1108315265
2	7	13.013474026
0	11	12.7683659045
1	5	12.4341901488
4	5	12.2006908418
3	6	11.8240957216
4	9	11.6257598762
1	11	11.4165973594
2	10	10.9055489316
8	10	10.7858711633
7	10	10.5234365708
0	9	9.72653558138
6	10	9.18711024003
5	9	9.15159921878
2	8	8.89619975841
3	4	8.67935223341
1	7	8.13998543181
5	11	7.69177739534
1	2	7.44577692562
5	10	7.36625036148
1	9	7.02338835465
3	9	6.36930090714
2	11	5.66862503965
2	5	5.60459102528
3	7	5.50482952431
2	3	5.48642154086
9	11	5.37590813954
2	9	5.05003642799
3	8	4.26995899441
3	10	4.22543925764
8	9	4.06866502321
0	10	3.95959640788
3	11	3.67848864724
3	5	2.91999544477
1	8	2.55487414561

